33,1958870
34,1785078
32,1768090
31,1624675
30,1597089
29,1497580
28,1380980
35,1331582
27,1152366
25,842968
23,814666
36,813737
24,802932
18,764540
26,762016
21,732672
15,718604
20,700418
37,700096
22,686964
19,676590
39,666154
38,656357
16,628285
17,613634
14,579677
53,565836
13,559543
40,542618
41,541638
43,539436
44,440654
12,423693
11,422640
10,418430
9,405007
7,398931
42,396463
45,385730
8,360019
52,344412
46,338308
6,312984
47,308697
49,288967
3,254411
48,249011
1,248330
50,237746
4,235657
5,234989
2,202452
51,161780
